Date,Country,Confirmed,Recovered,Deaths
2020-06-08,Afghanistan,20917,2171,369
2020-06-08,Albania,1263,945,34
2020-06-08,Algeria,10265,6799,715
2020-06-08,Andorra,852,751,51
2020-06-08,Angola,92,38,4
2020-06-08,Antigua and Barbuda,26,20,3
2020-06-08,Argentina,23620,7305,693
2020-06-08,Armenia,13325,4099,211
2020-06-08,Australia,7267,6720,102
2020-06-08,Austria,16968,15839,672
2020-06-08,Azerbaijan,7876,4377,93
2020-06-08,Bahamas,103,64,11
2020-06-08,Bahrain,15417,10326,27
2020-06-08,Bangladesh,68504,14560,930
2020-06-08,Barbados,92,81,7
2020-06-08,Belarus,49453,23880,276
2020-06-08,Belgium,59348,16315,9606
2020-06-08,Belize,19,16,2
2020-06-08,Benin,288,186,4
2020-06-08,Bhutan,59,14,0
2020-06-08,Bolivia,13949,2159,475
2020-06-08,Bosnia and Herzegovina,2704,2023,160
2020-06-08,Botswana,42,24,1
2020-06-08,Brazil,707412,378257,37134
2020-06-08,Brunei,141,138,2
2020-06-08,Bulgaria,2810,1587,164
2020-06-08,Burkina Faso,890,765,53
2020-06-08,Burma,244,159,6
2020-06-08,Burundi,83,45,1
2020-06-08,Cabo Verde,567,266,5
2020-06-08,Cambodia,126,123,0
2020-06-08,Cameroon,8060,4748,212
2020-06-08,Canada,97779,55343,7910
2020-06-08,Central African Republic,1850,38,5
2020-06-08,Chad,839,685,70
2020-06-08,Chile,138846,112248,2264
2020-06-08,China,84195,79444,4638
2020-06-08,Colombia,40847,16459,1373
2020-06-08,Comoros,141,67,2
2020-06-08,Congo (Brazzaville),683,210,22
2020-06-08,Congo (Kinshasa),4106,537,88
2020-06-08,Costa Rica,1342,712,11
2020-06-08,Cote d'Ivoire,3881,1869,38
2020-06-08,Croatia,2247,2128,104
2020-06-08,Cuba,2200,1868,83
2020-06-08,Cyprus,970,807,18
2020-06-08,Czechia,9697,6994,328
2020-06-08,Denmark,12162,10992,593
2020-06-08,Diamond Princess,712,651,13
2020-06-08,Djibouti,4278,2013,31
2020-06-08,Dominica,18,16,0
2020-06-08,Dominican Republic,20126,12158,539
2020-06-08,Ecuador,43378,21020,3642
2020-06-08,Egypt,35444,9375,1271
2020-06-08,El Salvador,3104,1379,56
2020-06-08,Equatorial Guinea,1306,200,12
2020-06-08,Eritrea,39,39,0
2020-06-08,Estonia,1940,1683,69
2020-06-08,Eswatini,340,229,3
2020-06-08,Ethiopia,2156,361,27
2020-06-08,Fiji,18,18,0
2020-06-08,Finland,7001,5800,323
2020-06-08,France,191313,71182,29212
2020-06-08,Gabon,3101,833,21
2020-06-08,Gambia,28,21,1
2020-06-08,Georgia,812,683,13
2020-06-08,Germany,186109,169556,8695
2020-06-08,Ghana,9910,3645,48
2020-06-08,Greece,3049,1374,182
2020-06-08,Grenada,23,22,0
2020-06-08,Guatemala,7502,1323,267
2020-06-08,Guinea,4216,2918,23
2020-06-08,Guinea-Bissau,1389,153,12
